Mechanism,Method,Iteration,Execution_Time,Train_MAE,Train_RMSE,Train_R2,Train_Correlation,Train_Distribution_similarity,Test_MAE,Test_RMSE,Test_R2,Test_Correlation,Test_Distribution_similarity,Hyperparameters,Missing_Rate
MCAR,KNN,3,0.409125,2.6014968814968817,7.08502094771228,0.889578132671841,0.9439255945789196,0.7461248618275289,2.3604631927212574,5.861435557865278,0.92289105846815,0.9631499361103871,0.7257205382522739,"{'n_neighbors': 5, 'weights': 'uniform'}",0.1
MCAR,MICE,3,2.294315,2.5282504331123445,6.198115236743009,0.9154931131822568,0.9568150504929754,0.7015404795410176,2.4267476593365567,6.287365518657358,0.9112774183574531,0.9551482753689742,0.6627744527674195,"{'max_iter': 10, 'n_nearest_features': 10}",0.1
MCAR,MissForest,3,282.676882,2.083599792099792,5.786533134101818,0.9263437340186972,0.9625049486613719,0.7672116778405549,2.0624441687344914,5.590631788303573,0.9298514769438871,0.9642973792247478,0.7429970350239281,"{'n_estimators': 100, 'max_iter': 5}",0.1
MCAR,EM,3,2.254658,2.2024891934429,5.78352245190539,0.9264203594919341,0.9628712302492901,0.7549652615674624,3.5967243263840762,9.287500881622938,0.8064048431429087,0.8980059566152161,0.36992016405292427,"{'max_iter': 50, 'tolerance': 0.001}",0.1
MCAR,Mean,1,0.005804,3.7397417665101207,9.317886666541465,0.8117660672616092,0.9009971483640749,0.41466019757442696,3.5647612119028365,7.898800770611936,0.8331405240209637,0.9138887960640149,0.40717223518751056,{'strategy': 'mean'},0.2
MCAR,Median,1,0.008159,3.5883723392989517,9.724724350200754,0.7949698788584889,0.8968648844023177,0.588428943429019,3.445531914893617,7.999281882662835,0.8288682633912055,0.9118840042308962,0.5895435453441737,{'strategy': 'median'},0.2
MCAR,KNN,1,0.488922,2.7211055808535423,7.113605889671853,0.8902908956602604,0.9442687385299888,0.7575765572420741,2.562595744680851,5.860929052778419,0.9081325875662485,0.9531728245834323,0.7369802024387999,"{'n_neighbors': 5, 'weights': 'uniform'}",0.2
MCAR,MICE,1,1.866927,2.4347085494392924,6.197351590489481,0.9167325357720905,0.9574858056866112,0.7157289940401764,2.395330391894213,5.5622047575822595,0.917258669528459,0.9582085010848626,0.6916955931905898,"{'max_iter': 10, 'n_nearest_features': 10}",0.2
MCAR,MissForest,1,277.899538,2.180250450068834,5.920880216476156,0.9239961453894917,0.9612607880100202,0.785549034966516,2.1104127659574465,5.553319316006591,0.9175228115606675,0.9604693779320291,0.7515045680914423,"{'n_estimators': 100, 'max_iter': 5}",0.2
MCAR,EM,1,7.53231,2.601614749969856,6.882221304907582,0.8973118486011445,0.9475449281496888,0.7886500439150408,3.5629812843197315,7.888625395312254,0.8335701497918637,0.914066575683866,0.40424825857932356,"{'max_iter': 50, 'tolerance': 0.001}",0.2
