target_variable;features;algorithm;imputation_method;feature_selection_method;n_clusters;scores;cross_validation_score;cross_validation_std;cluster_sizes;remove_missing_scores
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];gmm;N/A;agglomeration;3;{'silhouette': 0.11599983887293623, 'calinski_harabasz': 13.996746693211819, 'davies_bouldin': 2.401116744847489};0.09337876303222825;0.05280311912301499;{0: 33, 1: 69, 2: 18};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];spectral;N/A;variance;2;{'silhouette': 0.40065797384145735, 'calinski_harabasz': 14.070335459143891, 'davies_bouldin': 0.7948753350083894};0.3032781348063195;0.08808952905870122;{0: 116, 1: 4};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];spectral;N/A;variance;3;{'silhouette': 0.3646111418766215, 'calinski_harabasz': 7.606600015411896, 'davies_bouldin': 0.6033701385190345};0.24961210004023324;0.06338253553258304;{0: 116, 1: 2, 2: 2};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];spectral;N/A;pca;2;{'silhouette': 0.400657973840093, 'calinski_harabasz': 14.070335459143894, 'davies_bouldin': 0.7948753350083896};0.3032781348063195;0.08808952905870121;{0: 116, 1: 4};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];spectral;N/A;pca;3;{'silhouette': 0.3646111418751745, 'calinski_harabasz': 7.606600015411898, 'davies_bouldin': 0.6033701385190331};0.24961210004023332;0.06338253553258301;{0: 116, 1: 2, 2: 2};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];spectral;N/A;agglomeration;2;{'silhouette': 0.400657973840093, 'calinski_harabasz': 14.07033545914389, 'davies_bouldin': 0.7948753350083895};0.3032781348063195;0.08808952905870122;{0: 116, 1: 4};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];spectral;N/A;agglomeration;3;{'silhouette': 0.3646111418751745, 'calinski_harabasz': 7.606600015411898, 'davies_bouldin': 0.603370138519034};0.24961210004023324;0.06338253553258304;{0: 116, 1: 2, 2: 2};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];spectral;N/A;variance;2;{'silhouette': 0.40065797384145735, 'calinski_harabasz': 14.070335459143891, 'davies_bouldin': 0.7948753350083894};0.3032781348063195;0.08808952905870122;{0: 116, 1: 4};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];spectral;N/A;variance;3;{'silhouette': 0.3646111418766215, 'calinski_harabasz': 7.606600015411896, 'davies_bouldin': 0.6033701385190345};0.24961210004023324;0.06338253553258304;{0: 116, 1: 2, 2: 2};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];spectral;N/A;pca;2;{'silhouette': 0.400657973840093, 'calinski_harabasz': 14.070335459143894, 'davies_bouldin': 0.7948753350083896};0.3032781348063195;0.08808952905870121;{0: 116, 1: 4};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];spectral;N/A;pca;3;{'silhouette': 0.3646111418751745, 'calinski_harabasz': 7.606600015411898, 'davies_bouldin': 0.6033701385190331};0.24961210004023332;0.06338253553258301;{0: 116, 1: 2, 2: 2};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];spectral;N/A;agglomeration;2;{'silhouette': 0.400657973840093, 'calinski_harabasz': 14.07033545914389, 'davies_bouldin': 0.7948753350083895};0.3032781348063195;0.08808952905870122;{0: 116, 1: 4};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];spectral;N/A;agglomeration;3;{'silhouette': 0.3646111418751745, 'calinski_harabasz': 7.606600015411898, 'davies_bouldin': 0.603370138519034};0.24961210004023324;0.06338253553258304;{0: 116, 1: 2, 2: 2};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];spectral;N/A;variance;2;{'silhouette': 0.40065797384145735, 'calinski_harabasz': 14.070335459143891, 'davies_bouldin': 0.7948753350083894};0.3032781348063195;0.08808952905870122;{0: 116, 1: 4};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];spectral;N/A;variance;3;{'silhouette': 0.3646111418766215, 'calinski_harabasz': 7.606600015411896, 'davies_bouldin': 0.6033701385190345};0.24961210004023324;0.06338253553258304;{0: 116, 1: 2, 2: 2};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];spectral;N/A;pca;2;{'silhouette': 0.400657973840093, 'calinski_harabasz': 14.070335459143894, 'davies_bouldin': 0.7948753350083896};0.3032781348063195;0.08808952905870121;{0: 116, 1: 4};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];spectral;N/A;pca;3;{'silhouette': 0.3646111418751745, 'calinski_harabasz': 7.606600015411898, 'davies_bouldin': 0.6033701385190331};0.24961210004023332;0.06338253553258301;{0: 116, 1: 2, 2: 2};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];spectral;N/A;agglomeration;2;{'silhouette': 0.400657973840093, 'calinski_harabasz': 14.07033545914389, 'davies_bouldin': 0.7948753350083895};0.3032781348063195;0.08808952905870122;{0: 116, 1: 4};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];spectral;N/A;agglomeration;3;{'silhouette': 0.3646111418751745, 'calinski_harabasz': 7.606600015411898, 'davies_bouldin': 0.603370138519034};0.24961210004023324;0.06338253553258304;{0: 116, 1: 2, 2: 2};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];spectral;N/A;variance;2;{'silhouette': 0.40065797384145735, 'calinski_harabasz': 14.070335459143891, 'davies_bouldin': 0.7948753350083894};0.3032781348063195;0.08808952905870122;{0: 116, 1: 4};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];spectral;N/A;variance;3;{'silhouette': 0.3646111418766215, 'calinski_harabasz': 7.606600015411896, 'davies_bouldin': 0.6033701385190345};0.24961210004023324;0.06338253553258304;{0: 116, 1: 2, 2: 2};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];spectral;N/A;pca;2;{'silhouette': 0.400657973840093, 'calinski_harabasz': 14.070335459143894, 'davies_bouldin': 0.7948753350083896};0.3032781348063195;0.08808952905870121;{0: 116, 1: 4};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];spectral;N/A;pca;3;{'silhouette': 0.3646111418751745, 'calinski_harabasz': 7.606600015411898, 'davies_bouldin': 0.6033701385190331};0.24961210004023332;0.06338253553258301;{0: 116, 1: 2, 2: 2};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];spectral;N/A;agglomeration;2;{'silhouette': 0.400657973840093, 'calinski_harabasz': 14.07033545914389, 'davies_bouldin': 0.7948753350083895};0.3032781348063195;0.08808952905870122;{0: 116, 1: 4};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];spectral;N/A;agglomeration;3;{'silhouette': 0.3646111418751745, 'calinski_harabasz': 7.606600015411898, 'davies_bouldin': 0.603370138519034};0.24961210004023324;0.06338253553258304;{0: 116, 1: 2, 2: 2};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];hierarchical;N/A;variance;2;{'silhouette': 0.20187199463483413, 'calinski_harabasz': 31.42787924238785, 'davies_bouldin': 1.7385602481688027};0.2677998567979388;0.0579038479990441;{0: 72, 1: 48};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];hierarchical;N/A;variance;3;{'silhouette': 0.1812783555313548, 'calinski_harabasz': 27.0482311921495, 'davies_bouldin': 1.6544097136293938};0.26576236439145473;0.047432858632495335;{0: 48, 1: 43, 2: 29};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];hierarchical;N/A;pca;2;{'silhouette': 0.20187199463183886, 'calinski_harabasz': 31.42787924238783, 'davies_bouldin': 1.7385602481688034};0.26779985679793883;0.057903847999044085;{0: 72, 1: 48};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];hierarchical;N/A;pca;3;{'silhouette': 0.18127835552629137, 'calinski_harabasz': 27.048231192149487, 'davies_bouldin': 1.6544097136293938};0.2657623643914548;0.04743285863249529;{0: 48, 1: 43, 2: 29};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];hierarchical;N/A;agglomeration;2;{'silhouette': 0.20187199463183886, 'calinski_harabasz': 31.42787924238785, 'davies_bouldin': 1.7385602481688027};0.2677998567979388;0.05790384799904409;{0: 72, 1: 48};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];hierarchical;N/A;agglomeration;3;{'silhouette': 0.18127835552629137, 'calinski_harabasz': 27.0482311921495, 'davies_bouldin': 1.6544097136293938};0.26576236439145473;0.0474328586324953;{0: 48, 1: 43, 2: 29};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];hierarchical;N/A;variance;2;{'silhouette': 0.20187199463483413, 'calinski_harabasz': 31.42787924238785, 'davies_bouldin': 1.7385602481688027};0.2677998567979388;0.0579038479990441;{0: 72, 1: 48};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];hierarchical;N/A;variance;3;{'silhouette': 0.1812783555313548, 'calinski_harabasz': 27.0482311921495, 'davies_bouldin': 1.6544097136293938};0.26576236439145473;0.047432858632495335;{0: 48, 1: 43, 2: 29};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];hierarchical;N/A;pca;2;{'silhouette': 0.20187199463183886, 'calinski_harabasz': 31.42787924238783, 'davies_bouldin': 1.7385602481688034};0.26779985679793883;0.057903847999044085;{0: 72, 1: 48};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];hierarchical;N/A;pca;3;{'silhouette': 0.18127835552629137, 'calinski_harabasz': 27.048231192149487, 'davies_bouldin': 1.6544097136293938};0.2657623643914548;0.04743285863249529;{0: 48, 1: 43, 2: 29};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];hierarchical;N/A;agglomeration;2;{'silhouette': 0.20187199463183886, 'calinski_harabasz': 31.42787924238785, 'davies_bouldin': 1.7385602481688027};0.2677998567979388;0.05790384799904409;{0: 72, 1: 48};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];hierarchical;N/A;agglomeration;3;{'silhouette': 0.18127835552629137, 'calinski_harabasz': 27.0482311921495, 'davies_bouldin': 1.6544097136293938};0.26576236439145473;0.0474328586324953;{0: 48, 1: 43, 2: 29};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];hierarchical;N/A;variance;2;{'silhouette': 0.20187199463483413, 'calinski_harabasz': 31.42787924238785, 'davies_bouldin': 1.7385602481688027};0.2677998567979388;0.0579038479990441;{0: 72, 1: 48};True
Moca M6;['Age', 'Nb An Scol', 'Iq Code J0', 'Poids', 'Taille', 'Moca J7'];hierarchical;N/A;variance;3;{'silhouette': 0.1812783555313548, 'calinski_harabasz': 27.0482311921495, 'davies_bouldin': 1.6544097136293938};0.26576236439145473;0.047432858632495335;{0: 48, 1: 43, 2: 29};True
